,Id,Country,HDI Rank,HDI,Life expectancy,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,Change in HDI rank 2010-2015,Average annual HDI growth 1990-2000,Average annual HDI growth 2000-2010,Average annual HDI growth 2010-2015,Average annual HDI growth 1990-2015,Gender Development Index value,Gender Development Index Group,Human Development Index (HDI) Female,Human Development Index (HDI) Male,Life expectancy at birth Female,Life expectancy at birth Male,Mean years of schooling Female,Mean years of schooling Male,Estimated gross national income per capita Female,Estimated gross national income per capita Male,Share of seats in parliament (% held by women),Population with at least some secondary education % (2005-2015) Female,Population with at least some secondary education % (2005-2015) Male,Labour force participation rate (% ages 15 and older) Female,Total Population (millions) 2015,Total Population (millions) 2030,Population Average annual growth 2000/2005 (%),Population Average annual growth 2010/2015 (%),Population Urban 2015 %,Population Under age 5 (millions) 2015,Population Ages 15–64 (millions) 2015,Population Ages 65 and older (millions) 2015,Population Median age (years) 2015,Dependency Ration Young age (0–14) /(per 100 people ages 15–64),Dependency Ratio Old age (65 and older) /(per 100 people ages 15–64),Total fertility rate (birth per woman) 2000/2005,Total fertility rate (birth per woman) 2000/2007,Infants exclusively breastfed (% ages 0–5 months) 2010-2015,Infants lacking immunization DTP (% of one-year-olds),Infants lacking immunization Measles (% of one-year-olds),Child malnutrition Stunting (moderate or severe) 2010-2015,"Mortality rates Infant (per 1,000 live births) 2015","Mortality rates Under-five (per 1,000 live births) 2015","Mortality rates Female Adult (per 1,000 live births) 2014","Mortality rates Male Adult (per 1,000 live births) 2014","Deaths due to Malria (per 100,000 people) ","Deaths due to Tuberculosis (per 100,000 people) ","HIV prevalence, adult (% ages 15–49)",Life expectancy at age 59 (years) 2010/2015,"Physicians  (per 10,000 people) 2001-2014",Public health expenditure (% of GDP) 2014,Employment to population ratio (% ages 15 and older),Labour force participation rate (% ages 15 and older),Employment in agriculture (% of total employment) 2010-2014,Employment in services (% of total employment) 2010- 2014,Total Unemployment (% of labour force) 2015,Unemployment Youth (% ages 15-24) 2010-2014,Unemployment Youth not in school or employment (% ages 15-24) 2010-2014,Vulnerable employment (% of total employment) 2005-2014,Child labour  (% ages 5-14) 2009-2015,Working poor at PPP$3.10 a day (%) 2004-2013,Mandatory paid maternity leave (days),Old-age pension recipients  (% of statutory pension age population) 2004-2013,Internet users,Internet users (% 2010 -2015),Inequality-adjusted HDI (IHDI),Inequality-adjusted HDI (IHDI) Over loss(%),Difference from HDI rank,Coefficient of human inequality,Inequality in life expectancy (%) 2010-2015,Inequality-adjusted life expectancy index,Inequality in education(%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income inequality (Quintile ratio) 2010-2015,Income inequality (Palma ratio) 2010-2015,Income inequality (Gini coefficient) 2010-2015
0,1,Norway,1,1,82,13,"67,614",5,0,1,0,0,0,1,1,1,1,84,80,13,13,"59,800","75,314",40,96,95,61,5,6,1,1,81,0,3,1,39,27,25,2,2,,1,6,,2,3,44,69,,0,,24,43,8,62,65,2,77,4,10,6,5,,,,100,97,-1,1,5,0,5,3,1,2,1,10,1,4,1,26
1,2,Australia,2,1,83,13,"42,822",19,1,0,0,0,0,1,1,1,1,85,81,13,13,"34,271","51,386",31,91,92,59,24,29,1,2,89,2,16,4,38,28,23,2,2,,8,7,2,3,4,,,,0,0,25,33,6,61,65,3,70,6,14,10,,,,,83,85,32,1,8,-1,8,4,1,2,1,18,1,6,1,35
2,3,Switzerland,2,1,83,13,"56,364",7,0,1,0,0,0,1,2,1,1,85,81,13,14,"46,798","66,116",29,96,97,63,8,9,1,1,74,0,6,2,42,22,27,1,2,,2,7,,3,4,,,,0,,25,41,8,66,69,3,74,4,7,7,9,,,98,100,88,15,1,9,-4,8,4,1,6,1,16,1,5,1,32
3,4,Germany,4,1,81,13,"45,000",13,0,1,1,0,1,1,2,1,1,83,79,13,14,"35,878","54,440",37,96,97,55,81,79,0,0,75,3,53,17,46,20,32,1,1,,2,3,1,3,4,,,,0,,24,39,9,58,60,1,70,5,7,6,6,,,98,100,88,10,1,7,-1,7,4,1,3,1,15,1,5,1,30
4,5,Denmark,5,1,80,13,"44,519",13,2,1,1,0,1,1,2,1,1,82,79,13,13,"36,857","52,293",37,89,99,58,6,6,0,0,88,0,4,1,42,26,30,2,2,,4,10,,3,4,,,,0,,23,35,9,58,62,2,78,6,11,6,5,,,126,100,96,11,1,7,-2,7,4,1,3,1,14,1,5,1,29
5,6,Singapore,5,1,83,12,"78,162",-3,0,1,1,0,1,1,1,1,1,86,80,11,12,"60,787","96,001",24,76,82,58,6,6,3,2,100,0,4,1,40,21,16,1,1,,2,5,4,2,3,39,71,,1,,25,20,2,65,67,,71,3,7,19,9,,,105,0,82,1,,,,,3,1,,,,,,,
6,7,Netherlands,7,1,82,12,"46,326",8,-2,1,0,0,0,1,3,1,1,84,80,12,12,"30,117","62,773",36,86,90,58,17,18,1,0,91,1,11,3,43,25,28,2,2,,2,4,,3,4,,,,0,,24,29,10,60,64,2,75,6,9,5,13,,,112,100,93,7,1,7,2,7,4,1,4,1,12,1,4,1,28
7,8,Ireland,8,1,81,12,"43,798",11,1,1,1,0,1,1,1,1,1,83,79,13,12,"33,497","54,135",20,87,82,52,5,5,2,0,63,0,3,1,37,34,20,2,2,,2,7,,3,4,,,,0,,23,27,5,54,60,6,75,10,21,15,13,,,182,91,80,-2,1,8,-2,8,4,1,3,1,16,1,5,1,33
8,9,Iceland,9,1,83,12,"37,065",20,7,1,0,1,1,1,2,1,1,84,81,12,13,"30,530","43,576",41,100,97,71,0,0,1,1,94,0,0,0,36,31,21,2,2,,4,10,,2,2,39,67,,0,,25,35,7,71,74,4,77,4,9,6,9,,,90,100,98,6,1,6,6,6,3,1,3,1,12,1,4,1,27
9,10,Canada,10,1,82,13,"42,582",12,1,0,0,0,0,1,1,1,1,84,80,13,13,"33,288","52,026",28,100,100,61,36,40,1,1,82,2,,6,41,24,24,2,2,,2,5,,4,5,,,,0,,25,21,7,61,66,2,78,7,13,13,,,,105,98,89,8,1,9,-2,9,5,1,4,1,17,1,6,1,34
10,11,United States,10,1,79,13,"53,245",1,-3,0,0,0,0,1,1,1,1,82,77,13,13,"42,272","64,410",20,95,95,56,322,356,1,1,82,20,213,48,38,29,22,2,2,,2,9,2,6,7,78,131,,0,,23,25,8,59,62,2,81,5,12,17,,,,,93,75,29,1,14,-10,13,6,1,6,1,27,1,9,2,41
11,12,"Hong Kong, China (SAR)",12,1,84,12,"54,265",-2,3,1,1,0,1,1,2,1,1,87,81,12,12,"39,525","70,921",,81,75,53,7,8,0,1,100,0,5,1,43,16,21,1,1,,,,,,,32,64,,3,,26,,,58,60,,80,3,10,7,7,,,70,73,85,17,,,,,3,1,,,,,,,
12,13,New Zealand,13,1,82,13,"32,870",20,0,1,0,0,0,1,2,1,1,84,80,13,13,"24,413","41,718",31,99,99,62,5,5,1,1,86,0,3,1,38,31,23,2,2,,7,7,,5,6,52,81,,0,,25,27,9,64,68,6,73,6,14,12,,,,112,98,88,13,,,,,5,1,,,,,,,
13,14,Sweden,14,1,82,12,"46,251",2,-1,1,0,0,0,1,1,1,1,84,81,12,12,"40,328","52,181",44,88,88,61,10,11,0,1,86,1,6,2,41,28,32,2,2,,1,3,,2,3,43,66,,0,,24,39,10,60,65,2,79,7,21,7,7,,,,100,91,11,1,7,3,7,3,1,3,1,13,1,4,1,27
14,15,Liechtenstein,15,1,80,12,"75,065",-11,-5,,0,0,,,,,,,,,,,,20,,,,0,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,11,,,,,,,,,,,,,
15,16,United Kingdom,16,1,81,13,"37,931",10,-4,1,0,0,1,1,2,1,1,83,79,13,13,"26,324","49,872",27,81,85,57,65,70,1,1,83,4,42,12,40,28,28,2,2,,2,7,,4,4,54,85,,1,,24,28,8,59,63,1,79,6,15,12,13,,,14,100,92,2,1,8,-1,8,5,1,3,1,16,1,5,1,33
16,17,Japan,17,1,84,13,"37,268",10,1,1,0,0,0,1,2,1,1,87,80,13,12,"25,385","49,818",12,93,91,49,127,120,0,0,94,5,77,33,47,21,43,1,1,,1,2,7,2,3,,,,2,,26,23,9,57,59,4,69,3,5,4,,,,98,80,93,29,1,12,-8,12,3,1,20,1,14,1,5,1,32
17,18,Korea (Republic of),18,1,82,12,"34,541",12,0,1,1,0,1,1,3,1,1,85,79,12,13,"21,308","47,934",16,89,95,50,50,53,1,1,83,2,37,7,41,19,18,1,1,,1,1,3,3,3,37,90,0,4,,24,21,4,59,61,6,70,4,10,19,,,,90,78,90,13,1,16,-19,16,4,1,26,1,18,1,,,
18,19,Israel,19,1,83,13,"31,215",16,2,1,0,0,1,1,2,1,1,84,81,13,13,"23,323","39,239",27,87,90,59,8,10,2,2,92,1,5,1,30,46,18,3,3,,5,4,,3,4,,,,0,,25,33,5,61,64,1,80,5,8,16,,,,98,74,79,9,1,14,-11,13,4,1,8,1,26,1,10,2,43
19,20,Luxembourg,20,1,82,12,"62,471",-12,-4,1,0,0,1,1,2,1,1,84,80,12,12,"47,539","77,291",28,101,99,52,1,1,1,2,90,0,0,0,39,24,20,2,2,,1,1,,2,2,,,,0,,24,29,6,56,59,1,86,6,19,6,6,,,112,90,97,4,1,8,1,8,3,1,6,1,15,1,6,1,35
20,21,France,21,1,82,12,"38,085",4,1,1,0,0,1,1,1,1,1,85,79,12,12,"31,742","44,776",26,80,86,51,64,68,1,1,80,4,40,12,41,30,31,2,2,,1,10,,4,4,51,105,,1,,25,32,9,49,55,3,76,11,25,11,7,,,112,100,85,12,1,9,-1,9,4,1,8,1,16,1,5,1,33
21,22,Belgium,22,1,81,11,"41,243",1,-4,1,0,0,0,1,1,1,1,83,79,11,12,"32,416","50,358",42,80,85,48,11,12,1,1,98,1,7,2,42,26,28,2,2,,1,4,,3,4,,,,0,,24,49,8,49,54,1,77,9,22,12,11,,,105,85,85,4,1,8,2,8,4,1,8,1,13,1,4,1,28
22,23,Finland,23,1,81,11,"38,868",1,1,1,0,0,1,1,1,1,1,84,78,12,11,"32,069","45,882",42,100,100,55,6,6,0,1,84,0,4,1,43,26,32,2,2,,1,3,,2,2,,,,0,,24,29,7,53,59,4,74,10,23,10,10,,,147,100,93,-13,1,6,9,6,3,1,2,1,12,1,4,1,27
23,24,Austria,24,1,82,11,"43,609",-4,-1,1,1,0,0,1,2,1,1,84,79,11,12,"29,829","57,888",30,99,99,55,9,9,1,0,66,0,6,2,43,21,28,1,2,,7,24,,3,4,46,86,,1,,24,48,9,57,60,4,70,6,10,8,9,,,112,100,84,8,1,9,3,9,4,1,4,1,18,1,5,1,31
24,25,Slovenia,25,1,81,12,"28,664",13,0,1,1,0,1,1,1,1,1,84,78,12,12,"25,654","31,726",28,97,98,52,2,2,0,0,50,0,1,0,43,22,27,1,2,,2,6,,2,3,,,,1,,23,25,7,52,58,8,60,9,17,9,15,,,105,95,73,10,1,6,9,6,4,1,3,1,11,1,4,1,26
25,26,Italy,26,1,83,11,"33,573",6,0,1,1,0,1,1,2,1,1,86,81,11,11,"22,910","44,844",30,79,83,39,60,59,1,0,69,3,38,13,46,22,35,1,1,,2,14,,3,4,,,,0,0,25,38,7,43,48,4,70,12,42,22,18,,,150,81,66,-2,1,12,-3,11,3,1,10,1,21,1,7,1,35
26,27,Spain,27,1,83,10,"32,779",7,0,1,0,0,1,1,2,1,1,85,80,10,10,"24,382","41,500",38,71,77,52,46,46,2,0,80,2,31,9,43,22,28,1,1,,1,4,,4,4,,,,1,0,25,50,6,45,58,4,76,22,49,17,13,,,112,68,79,-3,1,11,1,10,4,1,5,1,22,1,7,2,36
27,28,Czech Republic,28,1,79,12,"28,144",11,0,1,0,0,1,1,1,1,1,82,76,12,13,"20,997","35,543",20,100,100,51,11,11,0,0,73,1,7,2,42,23,27,1,2,,1,1,3,3,3,53,115,,1,,22,36,6,56,59,3,59,5,13,8,15,,,196,100,81,5,1,5,10,5,4,1,1,1,11,1,4,1,26
28,29,Greece,29,1,81,11,"24,808",16,0,1,1,0,1,1,2,1,1,84,78,10,11,"17,304","32,683",20,64,72,44,11,11,0,0,78,1,7,2,44,23,33,1,1,,1,3,,4,5,45,101,,1,0,24,62,5,39,52,13,72,25,49,19,30,,,119,77,67,3,1,12,-6,12,4,1,12,1,21,1,8,2,37
29,30,Brunei Darussalam,30,1,79,9,"72,843",-25,1,0,0,0,0,1,1,1,1,81,77,9,9,"55,402","89,256",,68,70,51,0,1,2,2,77,0,0,0,31,32,6,2,2,,1,3,20,9,10,52,85,,4,,21,14,3,62,64,1,81,2,6,,,,,91,82,71,-1,,,,,4,1,,,,,,,
30,31,Estonia,30,1,77,13,"26,362",12,2,1,1,1,1,1,2,1,1,81,72,13,12,"21,976","31,347",24,100,100,55,1,1,-1,0,68,0,1,0,42,25,29,1,2,,5,7,,2,3,,,,2,,21,32,5,58,62,4,66,6,11,12,6,,,140,98,88,17,1,9,3,9,5,1,2,1,19,1,6,1,33
31,32,Andorra,32,1,82,10,"47,979",-18,9,,,1,,,,,,,,10,10,,,39,72,74,,0,0,4,-4,85,,,,,,,,,,1,4,,2,3,,,,1,,,40,6,,,,,,,,,,,,,97,5,,,,,,,,,,,,,
32,33,Cyprus,33,1,80,12,"29,459",4,-3,1,1,0,1,1,1,1,1,83,78,12,12,"23,450","35,227",13,77,83,58,1,1,2,1,67,0,1,0,36,23,18,2,2,,1,14,,3,3,35,70,,0,,22,23,3,54,64,4,80,16,32,17,14,,,126,85,72,2,1,11,-2,11,4,1,12,1,16,1,5,1,34
33,34,Malta,33,1,81,11,"29,500",3,3,1,1,1,1,1,4,1,1,82,79,11,12,"17,295","41,802",13,73,81,39,0,0,1,0,95,0,0,0,42,22,29,2,1,,1,2,,5,6,41,70,,0,,23,35,7,50,52,1,77,5,12,11,9,,,126,61,76,21,1,8,3,8,5,1,6,1,14,1,,,
34,35,Qatar,33,1,78,10,"129,916",-32,2,1,0,1,1,1,1,1,1,80,78,11,10,"50,324","159,897",0,71,68,54,2,3,7,5,99,0,2,0,31,19,1,3,2,29,1,1,,7,8,47,76,,0,,21,77,2,84,85,1,47,0,1,,0,,,50,8,93,23,,,,,6,1,,,,,,,
35,36,Poland,36,1,78,12,"24,117",11,-3,1,1,1,1,1,1,1,1,82,74,12,12,"18,928","29,658",25,81,87,49,39,37,0,0,61,2,27,6,40,22,22,1,1,,1,2,,5,5,,,,1,,22,22,5,53,57,11,58,7,20,12,17,,,182,97,68,21,1,10,2,9,5,1,5,1,17,1,5,1,32
36,37,Lithuania,37,1,74,13,"26,006",7,-1,0,1,1,1,1,2,1,1,79,68,13,13,"22,147","30,530",23,91,96,54,3,3,-1,-2,67,0,2,1,43,22,28,1,2,,3,7,,3,5,92,266,,8,,19,41,4,54,59,9,66,10,18,10,10,,,126,100,71,-13,1,11,0,10,6,1,6,1,20,1,7,1,35
37,38,Chile,38,1,82,10,"21,665",16,2,1,1,1,1,1,2,1,1,85,79,10,10,"14,955","28,556",16,76,77,51,18,20,1,1,90,1,12,2,34,29,16,2,2,,4,6,2,7,8,44,96,,2,0,25,10,4,58,62,9,67,6,16,12,,7,5,126,75,64,12,1,18,-12,17,8,1,8,1,36,1,12,3,51
38,39,Saudi Arabia,38,1,74,10,"51,320",-26,9,1,1,1,1,1,5,1,1,76,73,9,10,"19,300","75,923",20,63,72,20,32,39,3,2,83,3,22,1,28,42,4,4,3,,1,2,9,13,15,80,94,0,2,,19,25,4,52,55,5,71,6,31,18,,,,70,,70,-7,,,,,11,1,,,,,,,
39,40,Slovakia,40,1,76,12,"26,764",1,-7,0,1,0,1,1,1,1,1,80,73,12,12,"20,173","33,770",19,99,100,51,5,5,0,0,54,0,4,1,39,21,20,1,1,,1,3,,6,7,,,,1,,20,33,6,53,60,4,61,11,25,13,12,,,238,100,85,12,1,6,12,6,5,1,1,1,11,1,4,1,26
40,41,Portugal,41,1,81,9,"26,104",2,1,1,0,1,1,1,1,1,1,84,78,9,9,"21,095","31,673",35,51,52,54,10,10,0,0,64,0,7,2,44,22,32,2,1,,1,2,,3,4,,,,1,,24,41,6,51,59,6,70,12,30,12,15,3,,,100,69,-4,1,10,1,10,4,1,6,1,20,1,7,2,36
41,42,United Arab Emirates,42,1,77,10,"66,203",-35,-4,1,0,0,1,1,2,1,1,79,77,11,9,"27,257","80,420",23,77,65,42,9,11,8,2,86,1,8,0,33,16,1,2,2,34,6,6,,6,7,57,81,,0,,20,25,3,77,80,,,4,11,,1,,,45,,91,45,,,,,6,1,,,,,,,
42,43,Hungary,43,1,75,12,"23,394",6,-4,1,1,0,1,1,1,1,1,79,72,12,12,"17,787","29,567",10,96,98,46,10,9,0,0,71,1,7,2,41,22,26,1,1,,1,1,,5,6,,,,1,,20,31,5,50,54,5,65,7,18,14,6,,,168,91,73,-1,1,8,6,8,5,1,3,1,15,1,5,1,31
43,44,Latvia,44,1,74,12,"22,589",7,1,0,1,0,1,1,2,1,1,79,69,12,12,"18,824","27,031",18,99,99,54,2,2,-1,-1,67,0,1,0,43,23,30,1,2,,7,5,,7,8,94,243,,3,1,20,36,4,54,60,7,69,10,15,12,8,,,112,100,79,15,1,11,-1,10,7,1,4,1,20,1,7,1,36
44,45,Argentina,45,1,77,10,"20,945",12,-2,1,1,0,1,1,1,1,1,80,73,10,10,"12,875","29,367",37,64,61,48,43,49,1,1,92,4,28,5,31,39,17,3,2,33,2,5,8,11,13,75,154,,1,0,21,39,3,57,61,1,75,7,19,19,21,4,5,90,91,69,2,1,16,-6,15,10,1,8,1,27,1,10,2,43
45,46,Croatia,45,1,78,11,"20,291",14,1,1,1,0,1,1,1,1,1,81,74,11,12,"16,932","23,897",15,92,96,46,4,4,0,0,59,0,3,1,43,23,29,1,2,23,2,6,,4,4,57,134,,1,,21,30,6,44,52,9,64,16,44,19,10,,,208,58,70,-9,1,9,2,9,5,1,4,1,18,1,6,1,33
46,47,Bahrain,47,1,77,9,"37,236",-19,-3,1,0,0,0,1,2,1,1,78,76,9,9,"25,717","44,303",15,62,56,39,1,2,5,2,89,0,1,0,30,28,3,3,2,34,1,1,,5,6,60,75,,0,,19,9,3,68,69,1,62,1,5,,2,5,,60,40,94,48,,,,,6,1,,,,,,,
47,48,Montenegro,48,1,76,11,"15,410",24,2,,,0,,1,2,1,1,79,74,11,12,"11,757","19,149",17,87,96,42,1,1,0,0,64,0,0,0,38,28,20,2,2,17,3,12,9,4,5,73,130,,1,,20,21,4,40,49,6,73,18,38,,,13,2,45,52,65,-14,1,9,1,9,5,1,7,1,14,1,5,1,32
48,49,Russian Federation,49,1,70,12,"23,286",1,5,0,1,0,0,1,1,1,1,76,65,12,12,"17,868","29,531",15,95,95,57,144,139,0,0,74,9,100,19,39,24,19,1,2,,3,2,,8,10,,,,11,,18,43,4,60,64,7,66,6,15,12,6,,4,140,100,73,-3,1,10,1,10,9,1,2,1,18,1,8,2,42
49,50,Romania,50,1,75,11,"19,428",11,-2,0,1,0,1,1,1,1,1,78,71,10,11,"16,272","22,786",12,86,92,48,20,18,-1,-1,55,1,13,3,42,23,26,1,2,16,2,11,13,10,11,79,195,,6,,20,25,5,52,56,25,45,7,23,17,31,1,,126,98,56,-4,1,11,0,11,8,1,5,1,20,1,4,1,28
50,51,Kuwait,51,1,75,7,"76,075",-48,-1,1,0,0,0,1,2,1,1,76,74,7,7,"35,164","107,991",2,57,58,48,4,5,3,5,98,0,3,0,31,30,3,3,2,12,3,6,6,7,9,58,98,,0,,18,27,3,67,69,1,59,4,17,,2,,,70,27,82,74,,,,,7,1,,,,,,,
51,52,Belarus,52,1,72,12,"15,629",19,1,,1,0,,1,1,1,1,77,66,12,12,"12,327","19,433",29,87,92,55,10,9,-1,0,77,1,7,1,40,23,20,1,2,19,3,1,5,3,5,90,261,,8,1,18,39,4,57,61,10,57,6,13,,2,1,3,126,94,62,14,1,6,6,6,6,1,4,1,10,1,4,1,27
52,53,Oman,52,1,77,8,"34,402",-21,-3,,1,0,,1,3,1,1,79,75,8,9,"15,703","43,894",8,60,57,30,5,5,2,8,78,0,4,0,29,27,3,3,3,33,1,1,14,10,12,70,111,,1,,21,24,3,65,69,5,58,6,19,,,,,50,25,74,-3,,,,,7,1,,,,,,,
53,54,Barbados,54,1,76,11,"14,952",20,2,0,0,0,0,1,1,1,1,78,73,11,10,"11,801","18,377",20,93,91,62,0,0,0,0,32,0,0,0,39,29,21,2,2,20,2,5,8,12,13,75,125,,0,2,20,18,5,58,66,3,78,12,30,,,2,,84,68,76,-7,,,,,8,1,6,1,,,,,
54,55,Uruguay,54,1,77,9,"19,148",8,2,1,1,0,1,1,1,1,1,81,74,9,8,"14,608","24,014",19,55,52,55,3,4,0,0,95,0,2,1,35,33,23,2,2,,1,4,11,9,10,77,136,,2,1,22,37,6,61,65,9,69,7,20,21,23,8,5,98,77,65,22,1,16,-7,15,10,1,10,1,26,1,9,2,42
55,56,Bulgaria,56,1,74,11,"16,261",13,3,0,1,0,1,1,1,1,1,78,71,11,11,"12,979","19,736",20,93,96,49,7,6,-1,-1,74,0,5,1,44,22,30,1,2,,10,7,9,9,10,,,,2,,19,39,5,49,54,7,63,10,22,20,9,,,410,97,57,-6,1,11,2,11,8,1,6,1,18,1,7,2,36
