,Id,Country,HDI Rank,HDI,Life expectancy,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,Change in HDI rank 2010-2015,Average annual HDI growth 1990-2000,Average annual HDI growth 2000-2010,Average annual HDI growth 2010-2015,Average annual HDI growth 1990-2015,Gender Development Index value,Gender Development Index Group,Human Development Index (HDI) Female,Human Development Index (HDI) Male,Life expectancy at birth Female,Life expectancy at birth Male,Mean years of schooling Female,Mean years of schooling Male,Estimated gross national income per capita Female,Estimated gross national income per capita Male,Share of seats in parliament (% held by women),Population with at least some secondary education % (2005-2015) Female,Population with at least some secondary education % (2005-2015) Male,Labour force participation rate (% ages 15 and older) Female,Total Population (millions) 2015,Total Population (millions) 2030,Population Average annual growth 2000/2005 (%),Population Average annual growth 2010/2015 (%),Population Urban 2015 %,Population Under age 5 (millions) 2015,Population Ages 15–64 (millions) 2015,Population Ages 65 and older (millions) 2015,Population Median age (years) 2015,Dependency Ration Young age (0–14) /(per 100 people ages 15–64),Dependency Ratio Old age (65 and older) /(per 100 people ages 15–64),Total fertility rate (birth per woman) 2000/2005,Total fertility rate (birth per woman) 2000/2007,Infants exclusively breastfed (% ages 0–5 months) 2010-2015,Infants lacking immunization DTP (% of one-year-olds),Infants lacking immunization Measles (% of one-year-olds),Child malnutrition Stunting (moderate or severe) 2010-2015,"Mortality rates Infant (per 1,000 live births) 2015","Mortality rates Under-five (per 1,000 live births) 2015","Mortality rates Female Adult (per 1,000 live births) 2014","Mortality rates Male Adult (per 1,000 live births) 2014","Deaths due to Malria (per 100,000 people) ","Deaths due to Tuberculosis (per 100,000 people) ","HIV prevalence, adult (% ages 15–49)",Life expectancy at age 59 (years) 2010/2015,"Physicians  (per 10,000 people) 2001-2014",Public health expenditure (% of GDP) 2014,Employment to population ratio (% ages 15 and older),Labour force participation rate (% ages 15 and older),Employment in agriculture (% of total employment) 2010-2014,Employment in services (% of total employment) 2010- 2014,Total Unemployment (% of labour force) 2015,Unemployment Youth (% ages 15-24) 2010-2014,Unemployment Youth not in school or employment (% ages 15-24) 2010-2014,Vulnerable employment (% of total employment) 2005-2014,Child labour  (% ages 5-14) 2009-2015,Working poor at PPP$3.10 a day (%) 2004-2013,Mandatory paid maternity leave (days),Old-age pension recipients  (% of statutory pension age population) 2004-2013,Internet users,Internet users (% 2010 -2015),Inequality-adjusted HDI (IHDI),Inequality-adjusted HDI (IHDI) Over loss(%),Difference from HDI rank,Coefficient of human inequality,Inequality in life expectancy (%) 2010-2015,Inequality-adjusted life expectancy index,Inequality in education(%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income inequality (Quintile ratio) 2010-2015,Income inequality (Palma ratio) 2010-2015,Income inequality (Gini coefficient) 2010-2015
124,125,Guatemala,125,1,72,6,"7,063",-4,5,1,1,1,1,1,2,1,1,76,69,6,6,"5,132","9,081",14,37,36,41,16,21,2,2,52,2,10,1,21,63,8,4,3,53,11,33,47,24,29,129,236,0,2,1,21,9,2,60,62,33,50,3,6,30,45,26,14,84,14,27,-12,0,30,-2,29,17,1,36,0,34,0,12,3,49
125,126,Namibia,125,1,65,7,"9,770",-18,2,0,1,1,0,1,1,1,1,68,63,7,7,"7,971","11,667",38,38,39,56,3,3,1,2,47,0,2,0,21,61,6,4,4,49,8,17,23,33,45,249,325,0,63,13,17,4,5,44,59,31,54,26,50,32,8,,31,84,98,22,14,0,35,-13,33,22,1,25,0,54,0,20,6,61
126,127,Guyana,127,1,67,8,"6,884",-5,-2,1,0,0,1,1,3,1,1,69,64,9,8,"4,346","9,397",30,68,53,42,1,1,0,0,29,0,1,0,25,44,8,3,3,23,2,1,12,32,39,173,250,24,21,2,16,2,3,53,60,,,11,25,,,18,,91,100,38,-6,1,19,10,19,21,1,11,1,24,0,,,
127,128,Micronesia (Federated States of),127,1,69,10,"3,291",22,-6,,1,0,,,,,,70,68,,,,,0,,,,0,0,0,0,22,0,0,0,22,55,7,4,3,60,2,9,,29,35,150,178,,16,,17,2,12,,,,,,,,,,,,,32,-100,,,,,20,1,,,,,10,2,43
128,129,Tajikistan,129,1,70,10,"2,601",30,2,-1,1,1,0,1,3,1,1,73,66,10,11,"2,100","3,088",15,98,88,59,9,11,2,2,27,1,5,0,23,56,5,4,4,34,2,2,27,39,45,118,207,0,3,0,18,19,2,61,69,,,11,17,,47,10,22,140,80,19,27,1,15,16,15,23,1,7,1,15,0,5,1,31
129,130,Honduras,130,1,73,6,"4,466",11,-1,1,1,0,1,1,3,1,1,76,71,6,6,"2,680","6,254",26,33,31,47,8,10,2,2,55,1,5,0,23,50,8,4,3,31,14,12,23,17,20,122,174,0,1,0,22,4,4,63,66,36,45,4,7,41,53,15,28,84,8,20,-23,0,29,0,29,20,1,24,0,42,0,16,3,51
130,131,India,131,1,68,6,"5,663",-4,4,1,2,1,2,1,5,1,1,70,67,5,8,"2,184","8,897",12,35,61,27,"1,311","1,528",2,1,33,124,860,74,27,44,9,3,3,46,10,17,39,38,48,145,217,4,17,,18,7,1,52,54,50,29,4,10,27,81,12,53,84,24,26,26,0,27,4,27,24,1,39,0,16,1,5,2,35
131,132,Bhutan,132,1,70,3,"7,081",-12,5,,,1,,1,5,1,1,70,70,2,4,"5,657","8,308",8,6,13,59,1,1,3,2,39,0,1,0,27,40,7,3,2,51,1,3,34,27,33,216,210,0,10,,20,3,3,65,66,56,33,3,9,,53,3,11,56,3,40,58,0,29,-3,28,21,1,45,0,20,1,7,2,39
132,133,Timor-Leste,133,1,69,4,"5,371",-1,-1,,3,0,,1,5,1,1,70,67,4,5,"3,124","7,549",39,,,27,1,2,3,2,33,0,1,0,19,82,11,7,6,62,19,26,50,45,53,128,174,16,94,,17,1,1,39,41,51,40,5,16,,70,4,78,84,100,13,168,0,31,-5,30,24,1,48,0,18,0,5,1,32
133,134,Vanuatu,134,1,72,7,"2,805",23,-1,,,0,,,,,,74,70,,,"2,139","3,453",0,,,62,0,0,3,2,26,0,0,0,22,62,7,4,3,73,25,47,29,23,28,108,156,4,8,,18,1,5,68,71,,,4,9,,70,15,,84,4,22,-8,0,17,12,17,15,1,18,0,19,0,7,2,37
134,135,Congo,135,1,63,6,"5,503",-7,3,-1,1,1,1,1,3,1,1,64,61,6,7,"4,731","6,274",12,45,50,67,5,7,2,3,65,1,3,0,19,79,7,5,5,33,5,20,21,33,45,247,286,104,46,,18,1,4,65,70,,,7,12,,75,23,46,105,22,8,24,0,25,6,25,31,0,22,0,21,0,13,3,49
135,136,Equatorial Guinea,135,1,58,6,"21,517",-79,0,,1,0,,,,,,59,57,4,7,"17,462","25,375",20,,,71,1,1,3,3,40,0,1,0,21,68,5,6,5,7,35,56,26,68,94,286,326,69,7,5,17,3,3,74,82,,,9,15,,,28,20,84,,21,16,,,,,38,0,,,,,,,
136,137,Kiribati,137,1,66,8,"2,475",23,-3,,,0,,,,,,70,63,,,,,9,,,,0,0,2,2,44,0,0,0,22,57,6,4,4,69,17,9,,44,56,159,240,,49,,17,4,8,,,22,62,,,,53,,,84,,13,258,0,33,-7,32,26,1,21,0,48,0,7,2,38
137,138,Lao People's Democratic Republic,138,1,67,5,"5,049",-2,5,2,2,2,2,1,4,1,1,68,65,5,6,"4,408","5,696",25,30,43,78,7,9,2,2,39,1,4,0,22,57,6,4,3,40,6,13,44,51,67,176,217,10,55,,17,2,1,76,77,71,20,2,4,,84,10,84,105,6,18,-15,0,27,1,27,26,1,34,0,20,0,6,2,38
138,139,Bangladesh,139,1,72,5,"3,341",8,2,2,2,1,2,1,3,1,1,73,71,5,6,"2,379","4,285",20,42,44,43,161,187,2,1,34,15,106,8,26,45,8,3,2,55,3,11,36,31,38,107,152,14,51,0,19,4,1,59,62,48,35,4,12,40,58,4,86,112,40,14,86,0,29,-2,29,20,1,37,0,28,0,5,1,32
139,140,Ghana,139,1,62,7,"3,839",5,0,1,1,1,1,1,5,1,1,63,61,6,8,"3,200","4,484",11,52,69,76,27,37,3,2,54,4,16,1,21,67,6,5,4,52,1,8,19,43,62,231,270,67,36,2,16,1,2,72,77,45,41,6,12,,77,22,44,84,8,24,81,0,33,-8,33,31,0,35,0,32,0,9,2,43
140,141,Zambia,139,1,61,7,"3,464",7,3,1,3,1,2,1,4,1,1,63,59,6,7,"2,803","4,126",13,52,49,70,16,25,3,3,41,3,8,1,17,90,6,6,6,73,4,15,40,43,64,270,331,79,32,13,18,2,3,67,75,52,38,11,20,28,79,41,78,84,8,21,81,0,36,-11,35,34,0,22,0,49,0,16,4,56
141,142,Sao Tome and Principe,142,1,67,5,"3,070",12,-2,1,1,1,1,1,4,1,1,69,65,5,6,"2,000","4,149",18,31,45,45,0,0,2,2,65,0,0,0,19,79,6,5,5,74,2,8,17,35,47,165,219,43,7,,18,5,4,52,61,26,47,14,22,,,26,,90,42,26,13,0,25,7,25,27,1,21,0,26,0,5,1,31
142,143,Cambodia,143,1,69,5,"3,095",10,1,1,3,1,2,1,5,1,1,71,67,4,6,"2,650","3,563",19,13,26,76,16,19,2,2,21,2,10,1,24,49,6,3,3,65,1,6,32,25,29,145,210,4,58,1,17,2,1,81,81,54,30,1,1,8,64,19,72,90,5,19,134,0,23,11,22,20,1,27,0,20,0,4,1,31
143,144,Nepal,144,1,70,4,"2,337",19,2,2,2,1,2,1,4,1,1,72,69,3,5,"1,979","2,718",30,24,41,80,29,33,1,1,19,3,18,2,23,53,9,4,2,57,6,12,37,29,36,139,177,0,17,0,17,2,2,81,83,67,22,3,5,9,,37,44,52,63,18,183,0,27,2,26,20,1,44,0,14,0,5,1,33
144,145,Myanmar,145,1,66,5,"4,943",-6,2,2,2,1,2,,,,,68,64,5,5,"4,182","5,740",13,27,20,75,54,60,1,1,34,5,36,3,28,41,8,3,2,24,10,14,35,40,50,173,229,11,53,1,17,6,1,74,78,,,5,12,,,,83,98,,22,"6,603",,,,,26,1,19,0,,,,,
145,146,Kenya,146,1,62,6,"2,881",10,-1,-1,2,1,1,1,4,1,1,64,60,6,7,"2,357","3,405",21,28,34,62,46,65,3,3,26,7,26,1,19,76,5,5,4,61,12,21,26,36,49,251,296,50,21,6,18,2,4,61,67,,,9,18,,,26,,90,8,46,32,0,30,-1,29,32,0,23,0,33,0,12,3,49
146,147,Pakistan,147,1,66,5,"5,031",-10,2,1,2,1,1,1,5,0,1,67,65,4,7,"1,498","8,376",20,27,46,24,189,245,2,2,39,25,114,9,23,58,7,4,4,38,21,37,45,66,81,143,179,2,26,0,18,8,1,51,54,44,34,5,11,,63,,37,84,2,18,17,0,31,-2,30,33,0,44,0,12,1,4,1,31
147,148,Swaziland,148,1,49,7,"7,522",-33,-1,-1,0,1,0,1,5,0,1,48,50,6,7,"5,078","10,020",15,27,31,40,1,2,1,2,21,0,1,0,21,63,6,4,3,64,1,14,26,45,61,612,576,1,51,29,16,2,7,39,52,,,26,53,,,7,23,14,86,30,20,0,33,-5,33,35,0,27,0,38,0,14,4,52
148,149,Syrian Arab Republic,149,1,70,5,"2,441",13,-29,1,1,-4,0,1,5,0,1,77,64,5,6,835,"4,007",12,35,43,12,19,29,2,-2,58,2,11,1,21,63,7,4,3,43,35,46,28,11,13,86,283,,0,,19,15,2,37,42,13,55,12,29,,33,4,35,120,17,30,15,0,22,10,21,15,1,32,0,18,0,,,
149,150,Angola,150,1,53,5,"6,291",-27,4,,2,1,,,,,,54,51,,,"5,073","7,527",37,,,60,25,39,4,3,44,5,13,1,16,95,5,7,6,,1,15,29,96,157,321,369,101,52,2,16,2,2,63,68,,,8,12,,,24,50,90,15,12,27,0,37,-8,37,46,0,35,0,29,0,9,2,43
150,151,Tanzania (United Republic of),151,1,66,6,"2,467",10,1,1,2,1,1,1,3,1,1,67,64,5,6,"2,359","2,576",36,10,15,74,54,83,3,3,32,9,28,2,17,88,6,6,5,41,1,1,35,35,49,243,281,51,58,5,19,0,3,76,79,67,27,3,6,32,74,29,73,84,3,5,63,0,25,7,25,25,1,29,0,23,0,6,2,38
151,152,Nigeria,152,1,53,6,"5,443",-23,-1,,,1,,1,5,0,1,53,53,5,7,"4,132","6,706",6,,,48,182,263,3,3,48,31,97,5,18,83,5,6,6,17,25,49,33,69,109,346,379,107,97,3,14,4,1,53,56,,,6,9,,,25,72,84,,47,50,0,38,-10,38,41,0,43,0,28,0,9,2,43
152,153,Cameroon,153,1,56,6,"2,894",2,5,0,1,1,1,1,5,0,1,57,55,5,7,"2,340","3,448",27,32,38,71,23,33,3,3,54,4,13,1,19,78,6,6,5,28,7,20,32,57,88,345,370,65,31,5,17,1,1,73,76,,,5,7,11,74,47,48,98,13,21,72,0,33,-1,32,39,0,35,0,23,0,11,3,47
153,154,Papua New Guinea,154,1,63,4,"2,712",4,1,2,2,1,1,,,,,65,61,4,5,"2,362","3,047",3,9,15,70,8,10,3,2,13,1,5,0,21,62,5,4,4,56,13,35,50,45,57,237,313,40,40,1,15,1,4,68,70,,,3,7,,,,67,0,1,8,68,,,,,27,0,12,0,,,10,2,44
154,155,Zimbabwe,154,1,59,8,"1,588",20,15,-2,1,3,0,1,3,0,1,61,58,7,8,"1,360","1,822",35,52,65,78,16,21,1,2,32,3,9,1,19,75,5,4,4,41,2,8,28,47,71,382,413,18,15,15,18,1,3,75,82,66,25,9,15,,66,,83,98,6,16,44,0,29,2,28,31,0,17,0,36,0,9,2,43
155,156,Solomon Islands,156,1,68,5,"1,561",19,-3,,1,1,,,,,,70,67,,,"1,061","2,045",2,,,61,1,1,3,2,22,0,0,0,20,69,6,5,4,74,5,7,33,24,28,157,198,6,13,,17,2,5,44,67,,,35,52,,,,53,84,13,10,231,0,24,9,24,22,1,23,0,26,0,11,3,46
156,157,Mauritania,157,1,63,4,"3,527",-12,0,2,1,1,1,1,5,0,1,65,62,3,5,"1,608","5,422",22,11,24,29,4,6,3,3,60,1,2,0,20,71,6,5,5,27,12,16,22,65,85,183,228,67,22,1,17,1,2,33,47,,,31,47,,,15,18,98,9,15,16,0,32,1,32,34,0,41,0,21,0,5,1,32
157,158,Madagascar,158,1,66,6,"1,320",25,-8,,1,0,,1,3,1,1,67,64,7,6,"1,091","1,549",21,,,84,24,36,3,3,35,4,13,1,19,75,5,5,5,42,17,36,49,36,50,199,248,41,51,0,17,2,2,85,86,75,17,2,4,5,86,23,90,98,5,4,26,0,27,7,27,25,1,35,0,20,0,9,2,43
158,159,Rwanda,159,0,65,4,"1,617",14,4,3,3,1,3,1,1,0,0,67,62,3,4,"1,428","1,822",58,11,16,86,12,16,2,2,29,2,7,0,19,73,5,5,4,87,1,2,38,31,42,178,296,33,6,3,18,1,3,83,85,75,16,2,3,,78,29,82,84,5,18,115,0,32,1,32,30,0,29,0,36,0,11,3,50
159,160,Comoros,160,0,64,5,"1,335",22,-1,,,1,,1,5,0,1,65,62,4,6,715,"1,945",3,,,35,1,1,2,2,28,0,0,0,20,71,5,5,5,12,17,20,32,55,74,204,254,70,8,,16,2,2,46,57,,,20,38,,,22,25,98,,8,127,0,46,-18,45,31,0,48,0,56,0,,,
160,161,Lesotho,160,0,50,6,"3,319",-12,2,-1,1,1,0,1,2,0,1,50,50,7,5,"2,631","4,020",25,24,23,59,2,3,1,1,27,0,1,0,21,60,7,4,3,67,3,8,33,69,90,599,581,,64,23,16,1,8,48,66,,,28,38,,17,23,65,84,100,16,115,0,36,-6,35,34,0,24,0,47,0,21,4,54
161,162,Senegal,162,0,67,3,"2,250",3,4,0,2,2,1,1,5,0,1,69,65,2,4,"1,706","2,814",43,10,19,45,15,23,3,3,44,3,8,0,18,82,6,5,5,33,6,20,19,42,47,160,227,60,21,1,17,1,2,52,57,46,22,9,13,,58,15,64,98,24,22,55,0,33,1,33,25,1,45,0,28,0,8,2,40
162,163,Haiti,163,0,63,5,"1,657",9,-2,1,1,1,1,,,,,65,61,4,7,"1,370","1,950",4,26,39,62,11,13,2,1,59,1,7,1,23,55,8,4,3,40,28,47,22,52,69,215,277,5,20,2,18,,2,62,66,,,7,17,,,24,61,42,1,12,73,0,40,-7,39,31,0,38,0,48,0,33,7,61
163,164,Uganda,163,0,59,6,"1,670",8,-3,3,2,1,2,1,5,0,1,61,57,5,7,"1,266","2,075",35,26,32,82,39,62,3,3,16,7,19,1,16,97,5,7,6,63,11,18,34,38,55,283,346,58,12,7,17,1,2,82,85,72,20,4,6,6,79,16,61,84,7,19,34,0,31,6,31,36,0,29,0,27,0,8,2,41
164,165,Sudan,165,0,64,4,"3,846",-22,-1,2,1,1,2,1,5,0,1,65,62,3,4,"1,902","5,775",31,14,19,24,40,56,3,2,34,6,23,1,19,72,6,5,5,55,1,14,38,48,70,197,254,17,21,0,18,3,2,42,48,45,40,14,23,,,25,28,56,5,27,70,,,,,32,0,43,0,,,6,1,35
165,166,Togo,166,0,60,5,"1,262",18,-1,1,1,1,1,1,5,0,1,61,59,3,6,"1,116","1,412",18,23,36,81,7,11,3,3,40,1,4,0,19,77,5,5,5,58,9,18,28,52,78,256,289,83,9,2,15,1,2,75,81,,,8,12,9,89,28,66,98,11,7,57,0,32,5,32,32,0,39,0,24,0,11,3,46
166,167,Benin,167,0,60,4,"1,979",1,0,1,1,1,1,1,5,0,1,61,58,3,4,"1,673","2,287",7,16,31,70,11,16,3,3,44,2,6,0,19,77,5,6,5,41,16,37,34,64,100,223,270,80,10,1,16,1,2,71,72,45,44,1,2,20,88,15,66,98,10,7,15,0,37,-3,37,37,0,45,0,29,0,8,2,43
167,168,Yemen,168,0,64,3,"2,300",-4,-12,1,1,0,1,1,5,0,1,65,63,2,4,"1,045","3,530",1,16,33,26,27,36,3,3,35,4,15,1,19,71,5,6,4,10,6,25,47,34,42,201,245,10,4,0,16,2,1,42,50,25,56,16,30,48,30,23,51,70,9,25,40,0,34,0,33,29,0,48,0,21,0,,,
168,169,Afghanistan,169,0,61,4,"1,871",1,-2,1,3,1,2,1,5,0,1,62,60,2,6,511,"3,148",27,9,35,19,33,44,4,3,27,5,17,1,18,82,5,7,5,,18,34,41,66,91,238,281,0,44,0,16,3,3,48,53,,,10,20,,,29,90,90,11,8,71,0,32,3,30,36,0,45,0,11,0,,,
169,170,Malawi,170,0,64,4,"1,073",16,1,2,1,1,2,1,4,0,0,65,63,4,5,972,"1,175",17,15,24,81,17,27,3,3,16,3,9,1,17,88,7,6,5,70,3,15,42,43,64,262,279,63,17,9,19,0,6,76,81,64,29,7,9,17,,39,88,56,4,9,70,0,31,5,31,33,0,28,0,33,0,10,3,46
170,171,Côte d'Ivoire,171,0,52,5,"3,163",-20,1,0,1,1,1,1,5,0,1,53,51,4,6,"2,136","4,155",9,17,33,52,23,32,2,2,54,4,12,1,18,78,6,6,5,12,22,37,30,67,93,388,424,71,,3,14,1,2,61,67,,,10,14,,79,26,54,98,8,21,45,0,38,-2,37,40,0,45,0,27,0,10,2,43
171,172,Djibouti,172,0,62,4,"3,216",-22,-2,,2,1,,,,,,64,61,,,"1,981","4,441",13,,,37,1,1,2,1,77,0,1,0,24,52,7,4,3,1,7,29,34,54,65,230,277,28,120,2,18,2,7,24,52,,,54,,,,8,,98,12,12,75,0,35,3,34,33,0,47,0,22,0,10,2,44
172,173,Gambia,173,0,61,3,"1,541",3,-1,2,1,0,1,1,5,0,0,62,59,3,4,"1,296","1,790",9,25,39,72,2,3,3,3,60,0,1,0,17,90,5,6,6,47,2,4,25,48,69,237,291,84,18,2,15,0,5,54,77,32,55,30,44,,61,19,,180,11,17,49,,,,,31,0,,,27,0,,,
173,174,Ethiopia,174,0,65,3,"1,523",5,1,,4,2,,1,5,0,0,67,63,2,4,"1,161","1,886",37,11,21,77,99,138,3,3,20,15,55,4,19,75,6,6,5,52,14,30,40,41,59,203,255,48,33,,18,0,3,78,83,73,20,6,8,1,89,27,75,90,9,12,443,0,26,10,26,30,0,37,0,10,0,5,1,33
174,175,Mali,175,0,59,2,"2,218",-9,4,3,3,2,3,1,5,0,0,58,59,2,3,"1,349","3,071",9,7,16,50,18,27,3,3,40,3,9,0,16,95,5,7,6,38,20,20,39,75,115,263,258,92,11,1,15,1,2,61,66,,,9,11,14,83,21,80,98,6,10,162,0,34,0,33,40,0,42,0,16,0,5,1,33
175,176,Congo (Democratic Republic of the),176,0,59,6,680,15,4,-1,2,2,1,1,5,0,0,61,58,4,8,599,761,8,15,35,71,77,120,3,3,43,14,39,2,17,90,6,7,6,48,19,23,43,75,98,241,290,107,69,1,17,1,2,68,71,,,4,6,,,38,85,98,15,4,179,0,32,3,32,39,0,28,0,28,0,9,2,42
176,177,Liberia,177,0,61,4,683,13,0,,1,1,,1,5,0,0,62,60,3,6,575,788,11,17,40,58,5,6,3,3,50,1,3,0,19,77,6,6,5,55,26,42,32,53,70,231,269,69,68,1,15,0,3,58,61,47,41,4,5,15,79,21,89,90,,6,104,0,33,1,33,33,0,43,0,23,0,7,2,37
177,178,Guinea-Bissau,178,0,56,3,"1,369",3,-2,,,1,,,,,,57,54,,,"1,139","1,603",14,,,67,2,3,2,2,49,0,1,0,19,73,6,6,5,53,8,31,28,60,93,252,306,96,63,,15,1,1,67,73,,,8,12,,,38,79,60,6,4,62,0,39,-5,39,45,0,40,0,33,0,13,3,51
178,179,Eritrea,179,0,64,4,"1,490",1,-1,,,1,,,,,,66,62,,,"1,286","1,693",22,,,78,5,7,3,2,23,1,3,0,19,78,5,5,4,69,3,4,50,34,47,228,295,4,14,1,15,1,2,77,84,,,8,13,,,,69,60,,1,119,,,,,26,1,,,,,,,
179,180,Sierra Leone,179,0,51,3,"1,529",-1,3,1,3,1,2,1,5,0,0,52,51,3,4,"1,354","1,708",12,17,30,65,7,9,4,2,40,1,4,0,19,77,5,6,5,32,12,22,38,87,120,399,407,109,45,1,13,0,2,65,67,,,3,5,,,37,81,84,1,3,158,0,38,-3,37,43,0,47,0,19,0,5,1,34
180,181,Mozambique,181,0,56,4,"1,098",4,0,4,3,1,3,1,5,0,0,57,54,3,5,"1,016","1,184",40,3,8,83,28,41,3,3,32,5,14,1,17,88,7,6,6,41,7,15,43,57,79,382,425,71,67,11,17,0,4,62,79,,,22,38,10,,22,91,60,17,9,146,0,33,3,33,36,0,34,0,28,0,10,3,46
181,182,South Sudan,181,0,56,5,"1,882",-12,-7,,,0,,,,,,57,55,4,5,,,24,,,71,12,18,4,4,19,2,7,0,19,77,6,6,5,45,51,78,31,60,93,321,348,55,29,3,16,,1,,73,,,,,,,,,56,,18,65,,,,,41,0,40,0,,,13,3,46
182,183,Guinea,183,0,59,3,"1,058",4,0,2,2,1,2,1,5,0,0,60,59,2,4,848,"1,267",22,,,80,13,18,2,3,37,2,7,0,19,78,6,6,5,21,40,48,31,61,94,260,285,105,29,2,15,1,3,81,82,75,19,2,1,,90,28,73,98,9,5,137,0,35,2,34,35,0,48,0,17,0,6,1,34
183,184,Burundi,184,0,57,3,691,5,-1,0,4,1,2,1,4,0,0,59,55,3,4,632,752,38,7,10,85,11,17,3,3,12,2,6,0,18,85,5,7,6,69,2,6,58,54,82,267,327,64,23,1,16,0,4,82,84,,,2,3,,94,26,94,84,4,5,154,0,32,4,31,41,0,37,0,14,0,5,1,33
184,185,Burkina Faso,185,0,59,1,"1,537",-8,0,,,1,,1,5,0,0,60,58,1,2,"1,278","1,800",9,6,12,77,18,27,3,3,30,3,9,0,17,88,5,6,6,50,5,12,33,61,89,250,279,103,9,1,15,1,3,81,84,,,3,5,,90,39,81,98,3,11,120,0,34,2,33,37,0,39,0,24,0,5,2,35
185,186,Chad,186,0,52,2,"1,991",-19,0,,2,1,,1,5,0,0,53,51,1,3,"1,581","2,400",15,2,10,64,14,22,4,3,23,3,7,0,16,96,5,7,6,0,40,46,40,85,139,346,388,153,23,2,16,0,2,68,72,,,6,8,,,26,67,98,2,3,64,0,40,-1,40,46,0,42,0,31,0,10,2,43
186,187,Niger,187,0,62,2,889,1,1,2,2,2,2,1,5,0,0,63,61,1,2,481,"1,292",13,4,8,40,20,36,4,4,19,4,9,1,15,108,6,8,8,23,11,28,43,57,96,203,239,131,18,1,16,0,3,63,65,,,3,4,,85,31,85,98,6,2,101,0,28,1,28,35,0,35,0,12,0,5,1,34
187,188,Central African Republic,188,0,52,4,587,4,-1,0,1,0,0,1,5,0,0,53,50,3,6,482,696,13,12,30,72,5,7,2,2,40,1,3,0,20,68,7,5,4,34,31,51,41,92,130,382,423,115,48,4,16,1,2,72,78,,,8,12,,,29,81,98,,5,-9,0,44,0,43,46,0,35,0,49,0,18,5,56
188,189,Korea (Democratic People's Rep. of),,,71,,,,,,,,,,,,,74,67,,,,,16,,,74,25,27,1,1,61,2,17,2,34,31,14,2,2,69,6,1,28,20,25,106,176,0,20,,17,33,,74,80,,,7,13,,,,81,,,,631,,,,,15,1,,,,,,,
189,190,Marshall Islands,,,,,"4,412",,,,,,,,,,,,,,,,,9,92,93,,0,0,0,0,73,,,,,,,,,31,3,21,,30,36,,,,38,,,4,14,,,11,80,,,,,,,,64,19,,,,,,,,,,,,,,
190,191,Monaco,,,,,,,,,,,,,,,,,,,,,,21,,,,0,0,1,1,100,,,,,,,,,,1,1,,3,4,,,,0,,,72,4,,,,,,,,,,,,,93,40,,,,,,,,,,,,,
191,192,Nauru,,,,,"12,058",,,,,,,,,,,,,,,,,5,,,,0,0,0,0,100,,,,,,,,,67,1,2,24,29,35,,,,6,,,7,3,,,,,,,,,,,,57,,-100,,,,,,,,,,,,,
192,193,San Marino,,,,,"50,063",,,,,,,,,,,,,,,,,17,,,,0,0,1,1,94,,,,,,,,,,18,43,,3,3,,,,0,,,51,6,,,0,65,,,,,,,150,,,16,,,,,,,,,,,,,
193,194,Somalia,,,56,,294,,,,,,,,,,,57,54,,,170,418,14,,,33,11,17,3,2,40,2,5,0,17,93,6,7,7,5,48,54,26,85,137,285,346,34,67,1,16,0,,50,54,,,8,12,,,49,77,,,2,680,,,,,42,0,44,,,,,,
194,195,Tuvalu,,,,,"5,395",,,,,,,,,,,,,,,,,7,,,,0,0,1,0,60,,,,,,,,,35,1,4,10,23,27,,,,14,,,11,16,,,,,,,,,,,,20,43,148,,,,,,,11,,,,8,2,41